Name,Address,Website,Type,lon,lat
元大-左營,高雄市左營區左營大路158號3、4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989D/,券商,120.289244,22.683810
元大-草屯,南投縣草屯鎮中興路88號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989E/,券商,120.682243,23.974063
元大-高雄,高雄市三民區建工路715號2樓及717號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989F/,券商,120.316654,22.647672
元大-大同,台北市大同區南京西路66號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989G/,券商,121.518721,25.052873
元大-蘆洲,新北市蘆洲區光華路11號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989I/,券商,121.469865,25.083416
元大-彰化民生,彰化縣彰化市中正路1段296號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989J/,券商,120.545905,24.083497
元大-成功,桃園市成功路1段32號9樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989L/,券商,121.311142,24.992508
元大-內湖,台北市內湖區成功路4段166號地下1樓部分及168號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989N/,券商,121.593301,25.083048
元大-敦南,台北市敦化南路1段225號2樓、2樓之2,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989P/,券商,121.549289,25.040568
元大-汐止,新北市汐止區新台五路1段159號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989Q/,券商,121.653788,25.062486
元大-鹿港,彰化縣鹿港鎮公園一路88號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989S/,券商,120.431579,24.055617
元大-大甲,臺中市大甲區中山路1段833之1號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989U/,券商,120.622670,24.342578
元大-北三重,新北市三重區正義北路195號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989V/,券商,121.496264,25.068209
元大-豐原站前,臺中市豐原區三豐路1段43號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989W/,券商,120.722463,24.255044
元大-民生,台北市松山區民生東路5段171、171之3號1樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989X/,券商,121.564746,25.059764
元大-基隆,基隆市信一路132號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989Y/,券商,121.747581,25.129165
元大-小港,高雄市小港區漢民路381號8樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989Z/,券商,120.356637,22.567036
元大-苑裡,苗栗縣苑裡鎮客庄里新興路31之8號及31之9號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989a/,券商,120.652852,24.440290
元大-北屯,台中市北屯區崇德路2段46之2號及46之3號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989d/,券商,120.685695,24.169860
元大-中和,新北市中和區中和路102號5樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/989e/,券商,121.502275,24.999659
