id,Name,Type,lon,lat
992,聯發紡織纖維股份有限公司,公司,121.50745,25.05283
993,宏遠興業股份有限公司,公司,120.342285,23.11332
994,強盛染整股份有限公司,公司,121.177702,25.072939
995,得力實業股份有限公司,公司,120.295693,23.104825
996,偉全實業股份有限公司,公司,121.508478,25.052638
997,聚隆纖維股份有限公司,公司,120.427943,23.998505
998,南緯實業股份有限公司,公司,120.262705,22.962485
999,昶和纖維興業股份有限公司,公司,121.283068,25.053283
1000,首利實業股份有限公司,公司,121.448391,25.066521
1001,三洋紡織纖維股份有限公司,公司,121.508478,25.052638
1002,台南企業股份有限公司,公司,120.28018,22.968665
1003,本盟光電股份有限公司,公司,121.234072,24.981795
1004,儒鴻企業股份有限公司,公司,121.450596,25.066745
1005,聚陽實業股份有限公司,公司,121.563129,25.041005
1006,士林電機廠股份有限公司,公司,121.524985,25.104987
1007,東元電機股份有限公司,公司,121.613866,25.056028
1008,正道工業股份有限公司,公司,120.200095,22.922219
1009,永大機電工業股份有限公司,公司,121.54428,25.052848
1010,瑞利企業股份有限公司,公司,120.323481,22.689923
1011,中興電工機械股份有限公司,公司,121.484722,25.000986
1012,亞力電機股份有限公司,公司,121.613866,25.056028
1013,力山工業股份有限公司,公司,120.713601,24.093802
1014,川飛能源股份有限公司,公司,121.557885,25.03246
1015,利奇機械工業股份有限公司,公司,120.614987,24.057203
1016,華城電機股份有限公司,公司,121.239954,24.978746
1017,大億交通工業製造股份有限公司,公司,120.180229,22.972162
1018,堤維西交通工業股份有限公司,公司,120.173625,22.969297
1019,耿鼎企業股份有限公司,公司,121.281026,25.069229
1020,江申工業股份有限公司,公司,121.141372,24.896664
1021,日馳企業股份有限公司,公司,121.260377,25.107191
1022,恩德科技股份有限公司,公司,121.524985,25.104987
1023,樂士股份有限公司,公司,120.205387,22.998813
1024,亞崴機電股份有限公司,公司,121.065089,24.821961
1025,勤美股份有限公司,公司,121.547936,25.038326
1026,車王電子股份有限公司,公司,120.643122,24.226807
1027,和大工業股份有限公司,公司,120.721638,24.091856
1028,正峰新能源股份有限公司,公司,121.186316,24.98283
1029,巨庭機械股份有限公司,公司,120.713471,24.121815
1030,喬福機械工業股份有限公司,公司,120.630508,24.353898
1031,錩泰工業股份有限公司,公司,120.722451,24.294851
1032,伸興工業股份有限公司,公司,120.708943,24.115936
1033,中國砂輪企業股份有限公司,公司,121.351423,24.956937
1034,精華光學股份有限公司,公司,121.634733,25.056812
1035,倉佑實業股份有限公司,公司,120.45018,23.524653
1036,力肯實業股份有限公司,公司,121.410488,25.160208
1037,新麥企業股份有限公司,公司,121.450449,25.065484
1038,信錦企業股份有限公司,公司,121.49087,24.999998
1039,程泰機械股份有限公司,公司,120.607986,24.16522
1040,精剛精密科技股份有限公司,公司,120.354594,23.283396
1041,和勤精機股份有限公司,公司,120.45777,23.990259
1042,吉茂精密股份有限公司,公司,120.34741,23.914673
1043,永冠能源科技集團有限公司,公司,121.57608,25.058567
1044,亞德客國際集團,公司,121.547734,25.058012
1045,英瑞國際股份有限公司,公司,120.169742,22.997515
1046,祺驊股份有限公司,公司,121.04474,24.910758
1047,川寶科技股份有限公司,公司,121.275285,25.068648
1048,直得科技股份有限公司,公司,120.279697,23.10713
1049,岱宇國際股份有限公司,公司,121.533227,25.051392
1050,宏佳騰動力科技股份有限公司,公司,120.346344,23.090996
1051,中華電線電纜股份有限公司,公司,121.522544,25.06829
1052,聲寶股份有限公司,公司,121.361817,25.042643
1053,華新麗華股份有限公司,公司,121.566081,25.038775
1054,大亞電線電纜股份有限公司,公司,120.31604,22.961537
1055,中國電器股份有限公司,公司,121.548556,25.056652
1056,宏泰電工股份有限公司,公司,121.116031,25.054549
1057,台灣三洋電機股份有限公司,公司,121.53294,25.059324
1058,大山電線電纜股份有限公司,公司,120.513212,23.693328
1059,億泰電線電纜股份有限公司,公司,121.531687,25.038533
1060,榮星電線工業股份有限公司,公司,120.254653,22.978292
1061,合機電線電纜股份有限公司,公司,121.526726,25.0442
1062,艾美特(開曼)國際有限公司,公司,120.182523,22.979074
1063,南僑投資控股股份有限公司,公司,121.510767,25.071549
1064,葡萄王生技股份有限公司,公司,121.225202,24.934003
1065,東鹼股份有限公司,公司,121.549183,25.028808
1066,和益化學工業股份有限公司,公司,121.535844,25.051819
1067,東聯化學股份有限公司,公司,121.544282,25.052986
1068,臺灣永光化學工業股份有限公司,公司,121.549317,25.030189
1069,興農股份有限公司,公司,120.580433,24.111829
1070,國泰化工廠股份有限公司,公司,121.557328,25.041134
1071,和桐化學股份有限公司,公司,120.332714,22.709453
1072,長興材料工業股份有限公司,公司,120.323975,22.650196
1073,中國人造纖維股份有限公司,公司,120.338977,22.726025
1074,生達化學製藥股份有限公司,公司,120.344999,23.32161
1075,三晃股份有限公司,公司,120.710217,24.101903
1076,台灣肥料股份有限公司,公司,121.531037,25.05176
1077,中鋼碳素化學股份有限公司,公司,120.301885,22.604786
1078,台硝股份有限公司,公司,121.297852,25.016318
1079,元禎企業股份有限公司,公司,121.550915,25.057734
1080,永記造漆工業股份有限公司,公司,120.372559,22.529513
1081,臺灣中華化學工業股份有限公司,公司,121.11658,25.055909
1082,花仙子企業股份有限公司,公司,121.518493,25.072372
1083,美吾華股份有限公司,公司,121.544306,25.053898
1084,毛寶股份有限公司,公司,121.016217,24.866468
1085,杏輝藥品工業股份有限公司,公司,121.752163,24.634263
1086,喬山健康科技股份有限公司,公司,120.613356,24.233936
1087,臺鹽實業股份有限公司,公司,120.204102,22.980369
1088,台灣蠟品股份有限公司,公司,120.52421,23.423082
1089,南光化學製藥股份有限公司,公司,120.287816,23.033947
1090,寶齡富錦生技股份有限公司,公司,121.611987,25.058478
1091,中化合成生技股份有限公司,公司,121.409077,24.979766
1092,勝一化工股份有限公司,公司,120.253938,22.811754
1093,生泰合成工業股份有限公司,公司,120.336398,23.320639
1094,合世生醫科技股份有限公司,公司,121.487813,24.99668
1095,和康生物科技股份有限公司,公司,121.375442,25.053303
1096,訊聯生物科技股份有限公司,公司,121.574449,25.058999
1097,光洋應用材料科技股份有限公司,公司,120.158343,23.030822
1098,杏昌生技股份有限公司,公司,121.468435,25.045563
1099,美時化學製藥股份有限公司,公司,121.569844,25.02429
1100,金穎生物科技股份有限公司,公司,120.281812,23.30264
1101,台灣玻璃工業股份有限公司,公司,121.545162,25.052021
1102,寶徠建設股份有限公司,公司,121.581113,25.061568
1103,冠軍建材股份有限公司,公司,120.888833,24.706848
1104,潤隆建設股份有限公司,公司,121.560319,25.08012
1105,中國製釉股份有限公司,公司,121.049153,24.773249
1106,和成欣業股份有限公司,公司,121.584575,25.063074
1107,寶利徠光學科技股份有限公司,公司,121.18131,25.056602
1108,富喬工業股份有限公司,公司,120.59634,23.709824
1109,凱撒衛浴股份有限公司,公司,121.471427,25.053249
1110,台灣紙業股份有限公司,公司,120.293341,23.29792
1111,士林紙業股份有限公司,公司,121.524004,25.091757
